Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_18_354.jpg;15;1;0;3.087761;105.5609;90.033;0.2061462;13.02993;0.6931139
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_18_405.jpg;15;1;0;3.119322;105.7411;90.08504;0.2638532;15.25107;1.230062
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_18_455.jpg;15;1;0;3.131454;105.8599;90.12083;0.2253376;16.63025;1.471964
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_18_503.jpg;15;1;0;3.142312;105.9771;90.15797;0.1104526;17.9225;1.61434
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_18_554.jpg;15;1;0;3.14895;106.1512;90.21726;359.8725;19.74753;1.636097
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_18_604.jpg;15;1;0;3.157569;106.3268;90.28325;359.8168;21.55005;1.48524
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_18_654.jpg;15;1;0;3.163749;106.445;90.33115;359.904;22.78889;1.267079
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_18_704.jpg;15;1;0;3.25581;106.624;90.41644;0.130416;25.50087;1.046852
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_18_753.jpg;15;1;0;3.282926;106.7403;90.4792;0.1972843;27.18795;0.9883876
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_18_804.jpg;15;1;0;3.319634;106.9118;90.58035;0.2352057;29.61762;0.9832652
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_18_854.jpg;15;1;0;3.34395;107.0242;90.65173;0.2126779;31.21861;1.010767
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_18_908.jpg;15;1;0;3.378962;107.1896;90.7645;0.1058516;33.60683;1.088073
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_18_958.jpg;15;1;0;3.402727;107.2978;90.84353;-0.0003530888;35.14805;1.160677
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_19_007.jpg;15;1;0;3.43161;107.4605;90.96893;0.004727772;37.31319;1.230609
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_19_060.jpg;15;1;0;3.45255;107.5675;91.05666;0.03191406;38.76588;1.268501
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_19_109.jpg;15;1;0;3.479306;107.7253;91.19056;359.9757;40.81515;1.182608
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_19_158.jpg;15;1;0;3.497724;107.8292;91.2854;0.02006037;42.24737;1.115022
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_19_209.jpg;15;1;0;3.541647;107.9786;91.43523;0.0154497;44.52956;1.142918
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_19_256.jpg;15;1;0;3.564106;108.0762;91.53879;0.01504568;46.0214;1.164216
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_19_306.jpg;15;1;0;3.59563;108.2193;91.69914;0.01648893;48.23598;1.157215
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_19_356.jpg;15;1;0;3.617271;108.3117;91.80979;0.004186853;49.74039;1.15572
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_19_406.jpg;15;1;0;3.6488;108.4461;91.98172;0.004865789;51.97603;1.163677
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_19_456.jpg;15;1;0;3.670929;108.5329;92.09997;0.01500598;53.46545;1.157795
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_19_506.jpg;15;1;0;3.702526;108.6578;92.28265;0.01474203;55.72278;1.159926
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_19_557.jpg;15;1;0;3.723448;108.7377;92.40797;0.01603627;57.22855;1.164391
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_19_606.jpg;15;1;0;3.754391;108.8526;92.60083;0.01588715;59.47077;1.159997
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_19_656.jpg;15;1;0;3.775124;108.9252;92.7326;0.003188578;60.97875;1.165828
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_19_706.jpg;15;1;0;3.805644;109.0288;92.93525;0.006037834;63.22042;1.164162
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_19_756.jpg;15;1;0;3.826957;109.0941;93.0735;0.01439732;64.70988;1.161913
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_19_806.jpg;-15;1;0;3.848058;109.2005;93.27763;359.9672;64.53011;0.8667858
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_19_856.jpg;-15;1;0;3.864053;109.275;93.41356;359.9597;63.4211;0.6000225
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_19_906.jpg;-15;1;0;3.89378;109.3926;93.61697;0.009309276;61.31739;0.103404
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_19_956.jpg;-15;1;0;3.913707;109.4754;93.75166;0.08468132;59.80519;359.7009
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_20_007.jpg;-15;1;0;3.942585;109.6051;93.95122;0.1889223;57.5128;359.0672
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_20_056.jpg;-15;1;0;3.960709;109.694;94.08217;0.204646;55.99163;358.6843
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_20_106.jpg;-15;1;0;3.973158;109.8285;94.27517;0.08935593;53.90462;358.298
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_20_156.jpg;-15;1;0;3.977787;109.9206;94.40171;359.979;52.6212;358.1549
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_20_206.jpg;-15;1;0;3.98212;110.0656;94.59058;-0.001159425;50.71793;358.0629
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_20_256.jpg;-15;1;0;3.984843;110.1652;94.71461;0.01803069;49.45786;358.1411
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_20_307.jpg;-15;1;0;3.992752;110.3199;94.89527;359.9806;47.56266;358.3265
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_20_356.jpg;-15;1;0;3.997846;110.4268;95.01434;0.01455284;46.30458;358.58
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_20_406.jpg;-15;1;0;4.008359;110.5956;95.18778;0.05550453;44.03944;358.9567
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_20_456.jpg;-15;1;0;4.113479;110.7187;95.29897;0.1545457;42.22691;359.0283
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_20_506.jpg;-15;1;0;4.145038;110.9104;95.45891;0.249949;39.69407;358.9935
